"COM";"REG";"DEP";"LIBCOM";"code_iris";"LIBIRIS";"num";"P14_POP";"longitude";"latitude"
"01146";84;"01";"Dompierre-sur-Chalaronne";"011460000";"Dompierre-sur-Chalaronne (commune non iris<e9>e)";5;416;4.90052475;46.1420373503199
"01147";84;"01";"Domsure";"011470000";"Domsure (commune non iris<e9>e)";24;476;5.2945051;46.4210805002723
"01148";84;"01";"Dortan";"011480000";"Dortan (commune non iris<e9>e)";379;1845;5.644447;46.3185201502903
"01149";84;"01";"Douvres";"011490000";"Douvres (commune non iris<e9>e)";17;1036;5.3725276;45.9846844003448
"01150";84;"01";"Drom";"011500000";"Drom (commune non iris<e9>e)";25;222;5.367553;46.220221100307
"01151";84;"01";"Druillat";"011510000";"Druillat (commune non iris<e9>e)";166;1150;5.2945492;46.0690652003316
"01152";84;"01";"<c9>challon";"011520000";"<c9>challon (commune non iris<e9>e)";57;764;5.73448185;46.2295200503054
"01153";84;"01";"<c9>chenevex";"011530000";"<c9>chenevex (commune non iris<e9>e)";589;2158;6.01807115;46.3196929502901
"01154";84;"01";"<c9>trez";"011540000";"<c9>trez (commune non iris<e9>e)";13;820;5.1890783;46.3394175502867
"01155";84;"01";"<c9>vosges";"011550000";"<c9>vosges (commune non iris<e9>e)";1;144;5.5008154;45.9626965503482
"01156";84;"01";"Faramans";"011560000";"Faramans (commune non iris<e9>e)";18;781;5.1259584;45.9086543003564
"01157";84;"01";"Fareins";"011570000";"Fareins (commune non iris<e9>e)";33;2180;4.7681308;46.0234605503388
"01158";84;"01";"Farges";"011580000";"Farges (commune non iris<e9>e)";81;972;5.90538475;46.165678300316
"01159";84;"01";"Feillens";"011590000";"Feillens (commune non iris<e9>e)";806;3225;4.88663515;46.3393454002867
"01160";84;"01";"Ferney-Voltaire";"011600103";"Est";680;3414;6.10620655;46.2519619503016
"01160";84;"01";"Ferney-Voltaire";"011600102";"Centre";626;2615;6.10620655;46.2519619503016
"01160";84;"01";"Ferney-Voltaire";"011600101";"Ouest";584;3308;6.10620655;46.2519619503016
"01162";84;"01";"Flaxieu";"011620000";"Flaxieu (commune non iris<e9>e)";2;65;5.74615015;45.8125744003706
"01163";84;"01";"Foissiat";"011630000";"Foissiat (commune non iris<e9>e)";186;2029;5.18507455;46.3791917002797
"01165";84;"01";"Francheleins";"011650000";"Francheleins (commune non iris<e9>e)";42;1515;4.81107625;46.0707249003314
"01166";84;"01";"Frans";"011660000";"Frans (commune non iris<e9>e)";32;2196;4.7818984;45.990455850344
"01167";84;"01";"Garnerans";"011670000";"Garnerans (commune non iris<e9>e)";11;660;4.8289303;46.2123881003083
"01169";84;"01";"Genouilleux";"011690000";"Genouilleux (commune non iris<e9>e)";13;583;4.79253035;46.1210627503233
"01170";84;"01";"B<e9>ard-G<e9>ovreissiat";"011700000";"B<e9>ard-G<e9>ovreissiat (commune non iris<e9>e)";113;1011;5.54990225;46.1883744503123
"01171";84;"01";"G<e9>ovreisset";"011710000";"G<e9>ovreisset (commune non iris<e9>e)";33;917;5.6163125;46.2519124003017
"01173";84;"01";"Gex";"011730101";"Centre";190;2928;6.04880555;46.3514907502846
"01173";84;"01";"Gex";"011730103";"Est";326;3506;6.04880555;46.3514907502846
"01173";84;"01";"Gex";"011730102";"Ouest";349;4707;6.04880555;46.3514907502846
"01174";84;"01";"Giron";"011740000";"Giron (commune non iris<e9>e)";5;175;5.79073025;46.2184687503073
"01175";84;"01";"Gorrevod";"011750000";"Gorrevod (commune non iris<e9>e)";15;842;4.95072335;46.4156440002733
"01177";84;"01";"Grand-Corent";"011770000";"Grand-Corent (commune non iris<e9>e)";14;177;5.44010365;46.2094977003088
"01179";84;"01";"Gri<e8>ges";"011790000";"Gri<e8>ges (commune non iris<e9>e)";556;1908;4.84749765;46.2671335502991
"01180";84;"01";"Grilly";"011800000";"Grilly (commune non iris<e9>e)";60;786;6.11375975;46.331973400288
"01181";84;"01";"Groissiat";"011810000";"Groissiat (commune non iris<e9>e)";93;1187;5.61782365;46.2271293003058
"01183";84;"01";"Gu<e9>reins";"011830000";"Gu<e9>reins (commune non iris<e9>e)";30;1423;4.7837924;46.1059699503257
"01184";84;"01";"Hautecourt-Roman<e8>che";"011840000";"Hautecourt-Roman<e8>che (commune non iris<e9>e)";43;793;5.4319637;46.1591610503171
