"DEP","COM","code_iris","REG","LIBCOM","LIBIRIS","num","P14_POP","NOM_COM","lon","lat","Geo.Point"
"75","75103","751031203","11","Paris 3e Arrondissement","Sainte-Avoye 3",3282,1975,"Paris 3e Arrondissement","48.8622874089"," 2.3521539248","48.8622874089, 2.3521539248"
"75","75103","751031204","11","Paris 3e Arrondissement","Sainte-Avoye 4",4581,2065,"Paris 3e Arrondissement","48.863774801"," 2.35309633551","48.863774801, 2.35309633551"
"75","75104","751041301","11","Paris 4e Arrondissement","Saint-Merri 1",6405,1770,"Paris 4e Arrondissement","48.8591117218"," 2.35484124435","48.8591117218, 2.35484124435"
"75","75104","751041302","11","Paris 4e Arrondissement","Saint-Merri 2",30413,2137,"Paris 4e Arrondissement","48.8594724717"," 2.35228504127","48.8594724717, 2.35228504127"
"75","75104","751041303","11","Paris 4e Arrondissement","Saint-Merri 3",12516,1725,"Paris 4e Arrondissement","48.8599980785"," 2.34989220588","48.8599980785, 2.34989220588"
"75","75104","751041304","11","Paris 4e Arrondissement","Saint-Merri 4",393646,270,"Paris 4e Arrondissement","48.8568969402"," 2.35061084525","48.8568969402, 2.35061084525"
"75","75104","751041305","11","Paris 4e Arrondissement","Saint-Merri 5",2172,0,"Paris 4e Arrondissement","48.8573867973"," 2.35335511096","48.8573867973, 2.35335511096"
"75","75104","751041399","11","Paris 4e Arrondissement","Seine et Berges 1",1526,0,"Paris 4e Arrondissement","48.855957464"," 2.34984608021","48.855957464, 2.34984608021"
"75","75104","751041401","11","Paris 4e Arrondissement","Saint-Gervais 1",20087,3112,"Paris 4e Arrondissement","48.8547016846"," 2.35777811609","48.8547016846, 2.35777811609"
"75","75104","751041402","11","Paris 4e Arrondissement","Saint-Gervais 2",16101,1994,"Paris 4e Arrondissement","48.8579979558"," 2.35654391693","48.8579979558, 2.35654391693"
"75","75104","751041403","11","Paris 4e Arrondissement","Saint-Gervais 3",6545,2463,"Paris 4e Arrondissement","48.8568407328"," 2.35918383882","48.8568407328, 2.35918383882"
"75","75104","751041404","11","Paris 4e Arrondissement","Saint-Gervais 4",4255,1842,"Paris 4e Arrondissement","48.8559174625"," 2.36223873374","48.8559174625, 2.36223873374"
"75","75104","751041499","11","Paris 4e Arrondissement","Seine et Berges 2",1030,0,"Paris 4e Arrondissement","48.8535124106"," 2.35624414982","48.8535124106, 2.35624414982"
"75","75104","751041501","11","Paris 4e Arrondissement","Arsenal 1",2444,3080,"Paris 4e Arrondissement","48.850015282"," 2.36479360421","48.850015282, 2.36479360421"
"75","75104","751041502","11","Paris 4e Arrondissement","Arsenal 2",1380,1526,"Paris 4e Arrondissement","48.8527461169"," 2.36253110505","48.8527461169, 2.36253110505"
